Code	Occupation	Index_Inches	Gender_dominance_Number_MALE	Gender_dominance_Number_FEMALE	Gender_dominance_%_MALE	Gender_dominance_%_FEMALE	Glass_ceiling_MALE	Glass_ceiling_FEMALE	Glass_ceiling_RATIO	Glass_ceiling_%>180k_MALE	Glass_ceiling_%>180k_FEMALE	Glass_ceiling_RATIO_>180k	Glass_ceiling_%>80k_MALE	Glass_ceiling_%>80k_FEMALE	Glass_ceiling_RATIO_>80k	Glass_ceiling_%>37k_MALE	Glass_ceiling_%>37k_FEMALE	Glass_ceiling_RATIO_>37k	Salary_2009_MALE	Salary_2009_FEMALE	Salary_2009_DIFF	Salary_2013_MALE	Salary_2013_FEMALE	Salary_2013_DIFF	Progress_DOLLARS	Progress_PERCENT
9510	 Apprentice or trainee - business services	1.3	290	630	0.32	0.68	0.034	0.016	2.2	0.017	0.008	2.2	0.034	0.016	2.2	0.224	0.119	1.9	29941	24966	4975	23508	20445	3063	1911	0.384
9530	 Apprentice or trainee - clerical services	1.5	250	825	0.23	0.77	0.02	0.006	3.3	0.02	0.006	3.3	0.08	0.036	2.2	0.3	0.255	1.2	30543	30876	-333	22498	23219	-721	388	-1.164
9550	 Apprentice or trainee - financial services	2	170	225	0.43	0.57	0.088	0.022	4	0	0	#DIV/0!	0.088	0.022	4	0.441	0.289	1.5	31927	33763	-1835	30553	31618	-1065	-771	0.42
9552	 Consultant - insurance (clerical)	4.8	250	610	0.29	0.71	0.04	0.008	4.9	0.04	0.008	4.9	0.2	0.115	1.7	0.78	0.73	1.1	60170	49444	10726	65000	50226	14774	-4048	-0.377
9599	" Consultant, apprentice or trainee - justice and legal services, insurance claims investigation"	1.3	205	350	0.37	0.63	0.195	0.114	1.7	0.024	0.014	1.7	0.195	0.114	1.7	0.756	0.671	1.1	63090	52275	10814	58513	51529	6984	3831	0.354
9611	 Consultant - sales representative (wholesale)	7	725	505	0.59	0.41	0.034	0.01	3.5	0.034	0.01	3.5	0.283	0.099	2.9	0.821	0.624	1.3	67262	51021	16241	68578	43823	24755	-8514	-0.524
9612	 Consultant - real estate representative	5.4	910	860	0.51	0.49	0.154	0.029	5.3	0.154	0.029	5.3	0.462	0.174	2.6	0.764	0.61	1.3	95672	55250	40422	93826	53887	39940	483	0.012
9621	 Consultant - sales assistant (retail)	3.9	1755	4215	0.29	0.71	0.017	0.005	3.6	0.017	0.005	3.6	0.114	0.053	2.1	0.627	0.414	1.5	43738	33047	10692	44969	31401	13568	-2876	-0.269
9712	 Apprentice or trainee - miner	0.4	285	60	0.83	0.17	0.298	0.25	1.2	0	0	#DIV/0!	0.298	0.25	1.2	0.719	0.667	1.1	56963	48430	8532	61446	58873	2574	5959	0.698
9730	 Apprentice or trainee - transport and distribution driver	4.8	120	25	0.83	0.17	0.042	0.2	0.2	0.042	0.2	0.2	0.167	0.4	0.4	0.583	0.6	1	43590	40515	3076	42152	25649	16503	-13427	-4.365
9741	 Apprentice or trainee - storeperson	5.2	225	230	0.49	0.51	0.044	0.022	2	0	0	#DIV/0!	0.044	0.022	2	0.311	0.065	4.8	32857	29600	3257	24014	12032	11981	-8724	-2.679
9811	 Apprentice or trainee - cleaning services	0.3	405	425	0.49	0.51	0.012	0.024	0.5	0	0	#DIV/0!	0.012	0.024	0.5	0.235	0.188	1.2	32668	25793	6875	22927	19533	3394	3481	0.506
9831	" Apprentice or trainee - food, drink or meat processor"	0.4	85	145	0.37	0.63	0.176	0.138	1.3	0	0	#DIV/0!	0	0	#DIV/0!	0.176	0.138	1.3	36754	27907	8848	21714	20722	992	7856	0.888
9841	" Apprentice or trainee - farm, forestry or garden worker"	3.9	260	85	0.75	0.25	0.192	0.059	3.3	0	0	#DIV/0!	0	0	#DIV/0!	0.192	0.059	3.3	27987	26100	1887	24509	17769	6740	-4853	-2.572
9899	" Apprentice or trainee - deck or fishing hand, or autoglazier"	1.3	245	25	0.91	0.09	0.02	0.2	0.1	0	0	#DIV/0!	0.02	0.2	0.1	0.327	0.4	0.8	34168	10331	23837	33125	18236	14889	8948	0.375
TOT	TOTAL		5232320	4837090	0.52	0.48	0.054	0.012	4.6										66796	46234	20561	66497	42689	23808	-3247	-0.16
